ID,Is_Home_or_Away,Is_Opponent_in_AP25_Preseason,Media,Label
1,Home,Out,NBC,Win
2,Away,Out,ABC,Win
3,Home,In,NBC,Win
4,Home,Out,NBC,Win
5,Away,In,ABC,Lose
6,Home,Out,NBC,Win
7,Home,In,NBC,Win
8,Away,Out,ABC,Win
9,Away,Out,ABC,Win
10,Home,Out,NBC,Win
11,Away,Out,NBC,Win
12,Away,In,FOX,Lose
13,Away,Out,ABC,Lose
14,Home,Out,NBC,Win
15,Home,Out,NBC,Lose
16,Home,Out,NBC,Lose
17,Home,Out,ESPN,Win
18,Away,Out,ABC,Lose
19,Home,In,NBC,Lose
20,Home,Out,NBC,Win
21,Home,Out,CBS,Lose
22,Home,Out,NBC,Win
23,Home,In,NBC,Lose
24,Away,In,ABC,Lose
